712378190262636545,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:30 +0000 2016,Kansas City,
712378190220517377,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:30 +0000 2016,Minneapolis,
712378188907675648,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:30 +0000 2016,San Francisco,
712378190191153152,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:30 +0000 2016,Lincoln,
712378190535077888,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:30 +0000 2016,Frankfort,
712378190522519552,donald trump,"after brussels, isn't time started listening more seriously donald trump terror? new column:",Tue Mar 22 20:39:30 +0000 2016,"Register, Georgia",Eastern Time (US & Canada)
712378190971478020,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:30 +0000 2016,Madison,
712378191545901056,bernie sanders,woke bernie sanders' email about the win reminding 🌟every delegate counts.🌟,Tue Mar 22 20:39:30 +0000 2016,,
712378191587844096,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:30 +0000 2016,,
712378192191954945,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:31 +0000 2016,,
712378192481402880,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:31 +0000 2016,Frankfort,
712378192753991680,bernie sanders,roger ver issues bitcoin bounty for bernie sanders debate coindesk,Tue Mar 22 20:39:31 +0000 2016,New Orleans,
